Title,Difficulty,Level,Chart Constant,Score,Note Count,PM Rating,Play Rating,Play Potential
Aleph-0,FTR,10,10.5,"9,396,752",919,-,-0.34416,10.15584
Tempestissimo,FTR,10+,10.7,"9,390,880","1,254",-,-0.3637333333,10.33626667
Lost Civilization,BYD,9+,9.8,"9,284,534","1,061",-,-0.71822,9.08178
PRAGMATISM -RESURRECTION-,BYD,11,11.2,"9,262,111","1,502",-,-0.7929633333,10.40703667
World Ender,BYD,11,11.1,"9,155,366","1,661",-,-1.14878,9.95122
Testify,FTR,10+,10.9,"9,120,840","1,766",-,-1.263866667,9.636133333
TeraVolt,FTR,10+,10.8,"9,117,777","1,008",-,-1.274076667,9.525923333
Bamboo,FTR,10,10,"9,105,479","1,050",-,-1.31507,8.68493
"Infinite Strife,",BYD,10+,10.9,"8,987,645","1,633",-,-1.70785,9.19215
Testify,BYD,12,12,"8,704,799","2,221",-,-2.65067,9.34933
Tempestissimo,BYD,11,11.7,"8,676,321","1,540",-,-2.745596667,8.954403333
Arcana Eden,BYD,11,11.6,"3,325,387","2,134",-,-20.58204333,0
Pentiment,BYD,11,11.5,"1,665,943","1,741",-,-26.11352333,0
[X],FTR,10,10.6,0,"1,190",-,-,0
[X],PRS,7+,7.8,0,782,-,-,0
[X],PST,4,4.5,0,594,-,-,0
#1f1e33,PRS,9,9.2,0,"1,144",-,-,0
#1f1e33,PST,5,5.5,0,765,-,-,0
~_+,FTR,9+,9.9,0,"1,201",-,-,0
~_+,PRS,8,8,0,994,-,-,0
~_+,PST,4,4.5,0,869,-,-,0
〇、,FTR,9,9.5,0,708,-,-,0
〇、,PRS,6,6.5,0,519,-,-,0
〇、,PST,2,2.5,0,368,-,-,0
10pt8ion,ETR,10,10.5,0,"1,087",-,-,0
10pt8ion,FTR,9+,9.8,0,906,-,-,0
10pt8ion,PRS,7+,7.8,0,704,-,-,0
10pt8ion,PST,4,4,0,475,-,-,0
1F√,PRS,6,6.5,0,539,-,-,0
1F√,PST,2,2.5,0,411,-,-,0
7thSense,FTR,9+,9.9,0,925,-,-,0
7thSense,PRS,7+,7.8,0,739,-,-,0
7thSense,PST,3,3,0,360,-,-,0
8-EM,ETR,10,10.3,0,"1,201",-,-,0
8-EM,FTR,9,9.5,0,"1,081",-,-,0
8-EM,PRS,7+,7.8,0,847,-,-,0
8-EM,PST,4,4.5,0,557,-,-,0
99 Glooms,FTR,10,10.3,0,"1,294",-,-,0
99 Glooms,PRS,7+,7.8,0,774,-,-,0
99 Glooms,PST,4,4,0,637,-,-,0
A Wandering Melody of Love,PRS,7,7.5,0,670,-,-,0
A Wandering Melody of Love,PST,3,3.5,0,422,-,-,0
Abstruse Dilemma,PRS,8+,8.9,0,"1,127",-,-,0
Abstruse Dilemma,PST,5,5.5,0,983,-,-,0
Acheron,FTR,9+,9.7,0,"1,024",-,-,0
Acheron,PRS,7,7.5,0,688,-,-,0
Acheron,PST,3,3.5,0,538,-,-,0
Aegleseeker,PRS,9,9.1,0,"1,235",-,-,0
Aegleseeker,PST,5,5.5,0,973,-,-,0
Aether Crest: Astral,ETR,11,11.5,0,"1,941",-,-,0
Aether Crest: Astral,FTR,10,10.6,0,"1,508",-,-,0
Aether Crest: Astral,PRS,8+,8.9,0,"1,147",-,-,0
Aether Crest: Astral,PST,6,6,0,921,-,-,0
Ai Drew,PRS,6,6.5,0,732,-,-,0
Ai Drew,PST,3,3.5,0,694,-,-,0
AI[UE]OON,FTR,9,9.4,0,989,-,-,0
AI[UE]OON,PRS,6,6.5,0,623,-,-,0
AI[UE]OON,PST,3,3.5,0,436,-,-,0
Aleph-0,PRS,8+,8.8,0,579,-,-,0
Aleph-0,PST,5,5.5,0,388,-,-,0
Alexandrite,FTR,10,10,0,"1,040",-,-,0
Alexandrite,PRS,7,7.5,0,699,-,-,0
Alexandrite,PST,4,4.5,0,507,-,-,0
Alice à la mode,FTR,9,9.2,0,872,-,-,0
Alice à la mode,PRS,6,6.5,0,618,-,-,0
Alice à la mode,PST,2,2.5,0,436,-,-,0
Alice's Suitcase,FTR,9,9.1,0,999,-,-,0
Alice's Suitcase,PRS,6,6,0,660,-,-,0
Alice's Suitcase,PST,3,3.5,0,644,-,-,0
Alone & Lorn,PRS,6,6.5,0,742,-,-,0
Alone & Lorn,PST,3,3,0,643,-,-,0
Altair (feat. *spiLa*),PRS,6,6,0,828,-,-,0
Altair (feat. *spiLa*),PST,2,2.5,0,670,-,-,0
Altale,BYD,10,10,0,"1,074",-,-,0
Altale,FTR,9+,9.8,0,690,-,-,0
Altale,PRS,5,5.5,0,422,-,-,0
Altale,PST,2,2.5,0,375,-,-,0
ALTER EGO,ETR,11,11.3,0,"1,644",-,-,0
ALTER EGO,FTR,10,10.5,0,"1,466",-,-,0
ALTER EGO,PRS,9,9.2,0,"1,213",-,-,0
ALTER EGO,PST,6,6.5,0,865,-,-,0
AlterAle,FTR,9+,9.7,0,"1,277",-,-,0
AlterAle,PRS,6,6,0,881,-,-,0
AlterAle,PST,3,3,0,728,-,-,0
AlterGate,FTR,10+,10.7,0,"1,324",-,-,0
AlterGate,PRS,8+,8.7,0,993,-,-,0
AlterGate,PST,5,5.5,0,774,-,-,0
AMAZING MIGHTYYYY!!!!,FTR,10+,10.7,0,"1,249",-,-,0
AMAZING MIGHTYYYY!!!!,PRS,7+,7.8,0,776,-,-,0
AMAZING MIGHTYYYY!!!!,PST,4,4.5,0,624,-,-,0
Amekagura,PRS,7,7.5,0,851,-,-,0
Amekagura,PST,4,4,0,741,-,-,0
amygdata,FTR,9+,9.7,0,"1,199",-,-,0
amygdata,PRS,7,7.5,0,711,-,-,0
amygdata,PST,4,4,0,504,-,-,0
And Revive The Melody,FTR,10+,10.9,0,"1,710",-,-,0
And Revive The Melody,PRS,8,8.5,0,"1,269",-,-,0
And Revive The Melody,PST,5,5.5,0,962,-,-,0
ANDORXOR,ETR,10+,10.8,0,"1,404",-,-,0
ANDORXOR,FTR,9+,9.9,0,"1,055",-,-,0
ANDORXOR,PRS,7+,7.8,0,758,-,-,0
ANDORXOR,PST,4,4.5,0,559,-,-,0
Angel's Boundary,FTR,10,10.2,0,"1,246",-,-,0
Angel's Boundary,PRS,8,8.5,0,"1,013",-,-,0
Angel's Boundary,PST,5,5,0,841,-,-,0
Anökumene,BYD,9+,9.9,0,971,-,-,0
Anökumene,PRS,6,6.5,0,587,-,-,0
Anökumene,PST,2,2.5,0,412,-,-,0
Antagonism,PRS,7+,7.8,0,738,-,-,0
Antagonism,PST,4,4.5,0,431,-,-,0
Antithese,PRS,5,5,0,826,-,-,0
Antithese,PST,2,2,0,845,-,-,0
April showers,FTR,8,8.6,0,697,-,-,0
April showers,PRS,5,5.5,0,544,-,-,0
April showers,PST,2,2,0,363,-,-,0
Arcahv,PRS,7+,7.8,0,884,-,-,0
Arcahv,PST,4,4.5,0,818,-,-,0
Arcana Eden,PRS,8+,8.7,0,"1,310",-,-,0
Arcana Eden,PST,5,5.5,0,"1,097",-,-,0
Arghena,FTR,11,11.3,0,"1,444",-,-,0
Arghena,PRS,9,9.6,0,"1,082",-,-,0
Arghena,PST,7,7.5,0,883,-,-,0
Ascent,PRS,6,6,0,625,-,-,0
Ascent,PST,3,3,0,455,-,-,0
Ashen 6oundary,PRS,7+,7.8,0,813,-,-,0
Ashen 6oundary,PST,4,4.5,0,702,-,-,0
Astra walkthrough,PRS,7+,7.8,0,886,-,-,0
Astra walkthrough,PST,4,4.5,0,769,-,-,0
Astral Quantization,FTR,10,10.6,0,"1,388",-,-,0
Astral Quantization,PRS,8,8.1,0,943,-,-,0
Astral Quantization,PST,5,5,0,782,-,-,0
Astral tale,FTR,9,9.6,0,884,-,-,0
Astral tale,PRS,7,7,0,642,-,-,0
Astral tale,PST,4,4.5,0,445,-,-,0
astral.exe,FTR,9,9.5,0,"1,059",-,-,0
astral.exe,PRS,6,6,0,734,-,-,0
astral.exe,PST,3,3,0,654,-,-,0
AttraqtiA,FTR,10,10.6,0,"1,433",-,-,0
